Smiles,HBA,HBD,HBA+HBD,NumRings,RTB,NumAmideBonds,TPSA,logP,MR,MW,Csp3,fmf,QED,HAC,NumRingsFused,unique_HBAD,max_ring_size,n_chiral_centers,fcsp3_bm,formal_charge,abs_charge,Globularity,PBF
CN(CCN=[N+]=[N-])CC=1C=CC=C(F)C1,0.0909090909090909,0.0,0.0588235294117647,0.2,0.4615384615384615,0.0,0.0179950013885031,0.6510411565358767,0.3135762526450948,0.258841292667865,0.4,0.4545454545454546,0.7186564861155602,0.2571428571428571,0.3333333333333333,0.0909090909090909,0.5,0.0,0.0,1.0,0.0,0.2986582388183882,0.5492631348854776
N[C@H]1C[C@@H](C1)N=[N+]=[N-],0.0909090909090909,0.1428571428571428,0.1176470588235294,0.2,0.1538461538461538,0.0,0.1445154123854485,0.4765617348038155,0.0888447746442584,0.0616874924352299,1.0,0.5681818181818182,0.4433599072921211,0.0571428571428571,0.3333333333333333,0.0909090909090909,0.3333333333333333,0.0,1.0,1.0,0.0,0.4952467279676475,0.4037078158126772
[N-]=[N+]=NCC1CCOC1,0.0909090909090909,0.0,0.0588235294117647,0.2,0.1538461538461538,0.0,0.0512635379061371,0.5301181218045402,0.112460349976136,0.0924820035408247,1.0,0.6313131313131319,0.4671536775835417,0.0857142857142856,0.3333333333333333,0.0909090909090909,0.4166666666666666,0.1,1.0,1.0,0.0,0.4529565279630991,0.436791568467704
CCOC(=O)C1(CC2(CN=[N+]=[N-])C1)C3(CCOCC3)O2,0.3636363636363636,0.0,0.2352941176470588,0.8,0.3846153846153846,0.0,0.248597611774507,0.5913338165292163,0.4163474250186898,0.4087457970651754,0.923076923076923,0.6250000000000001,0.5332780045462866,0.3999999999999999,0.3333333333333333,0.3636363636363636,0.5,0.0,1.0,1.0,0.0,0.1349588623026265,0.5274062259299902
CC(C)NC(=O)C(C)N=[N+]=[N-],0.0909090909090909,0.1428571428571428,0.1176470588235294,0.0,0.4615384615384615,0.3333333333333333,0.1616217717300749,0.5180316950381001,0.1880452274253565,0.1520605920111921,0.833333333333333,0.0,0.6095883035960783,0.1428571428571428,0.0,0.1818181818181818,0.0,0.1,0.0,1.0,0.0,0.3044423489460808,0.5374105611522539
NC1(CCCCCC1)C2=NOC(CN=[N+]=[N-])=N2,0.3636363636363636,0.1428571428571428,0.2941176470588235,0.4,0.3076923076923077,0.0,0.3606775895584559,0.6334404199886378,0.3470989487200064,0.3163622637483909,0.8,0.8021390374331557,0.6179677559761805,0.3142857142857143,0.6666666666666666,0.3636363636363636,0.5833333333333333,0.0,0.777777777777778,1.0,0.0,0.2517786981396939,0.4569979182940755
C[C@H](N=[N+]=[N-])C=1C=CC=CC1Cl,0.0,0.0,0.0,0.2,0.2307692307692307,0.0,0.0,0.7630413916041443,0.2482439949484496,0.2042436563635348,0.25,0.5681818181818182,0.628390781081754,0.1714285714285714,0.3333333333333333,0.0,0.5,0.1,0.0,1.0,0.0,0.4806969522659969,0.5251783902358341
[N-]=[N+]=NCC1CCC(=O)O1,0.1818181818181818,0.0,0.1176470588235294,0.2,0.1538461538461538,0.0,0.1460705359622327,0.4977080843895076,0.1140484627828297,0.121167610681557,0.8,0.6818181818181819,0.3096177269917881,0.1142857142857142,0.3333333333333333,0.1818181818181818,0.4166666666666666,0.1,0.75,1.0,0.0,0.5202324333913362,0.3560273625061214
CCOP(=O)(CCCN=[N+]=[N-])OCC,0.2727272727272727,0.0,0.1764705882352941,0.0,0.7692307692307693,0.0,0.1973340738683699,0.6887598189974331,0.293374275106754,0.2854220987697364,1.0,0.0,0.2088590981593773,0.2285714285714285,0.0,0.2727272727272727,0.0,0.0,0.0,1.0,0.0,0.1534649435218165,0.4258957434011652
[N-]=[N+]=NCC=1C=CC=2N=CC=CC2C1,0.0909090909090909,0.0,0.0588235294117647,0.4,0.1538461538461538,0.0,0.0715912246598167,0.6977903582832174,0.2953805346364869,0.2095282250536962,0.1,0.8116883116883113,0.6823320553281922,0.2285714285714285,0.3333333333333333,0.0909090909090909,0.5,0.0,0.0,1.0,0.0,0.4807220399809058,0.3046900604811207
CC1=NC(=NO1)C(=O)N=[N+]=[N-],0.2727272727272727,0.0,0.1764705882352941,0.2,0.1538461538461538,0.3333333333333333,0.310969175229103,0.4806871829027008,0.108849082822617,0.1457256742646012,0.25,0.5165289256198352,0.5272153711704768,0.1428571428571428,0.3333333333333333,0.2727272727272727,0.4166666666666666,0.0,0.0,1.0,0.0,0.7207798431847494,0.0745609275302662
[N-]=[N+]=NCC1COC=2C=CC=CC2O1,0.1818181818181818,0.0,0.1176470588235294,0.4,0.1538461538461538,0.0,0.1025270758122743,0.6088170189425839,0.2596733387115167,0.2238638485035594,0.333333333333333,0.8116883116883113,0.6977672331981124,0.2285714285714285,0.3333333333333333,0.1818181818181818,0.5,0.1,0.25,1.0,0.0,0.4187085111926341,0.3000604145126565
[N-]=[N+]=NC1CCN(C2CCNCC2)C1=O,0.1818181818181818,0.1428571428571428,0.1764705882352941,0.4,0.1538461538461538,0.3333333333333333,0.1796167731185781,0.4631628435424783,0.300133891425458,0.260919424687715,0.888888888888889,0.9090909090909092,0.7059453458525384,0.2571428571428571,0.6666666666666666,0.1818181818181818,0.5,0.1,0.888888888888889,1.0,0.0,0.2689678779983089,0.5278217930950181
[N-]=[N+]=NC=1C=CC=C2N=CC=CC12,0.0909090909090909,0.0,0.0588235294117647,0.4,0.0769230769230769,0.0,0.0715912246598167,0.7106701404532892,0.2612192144754792,0.180752353540927,0.0,0.874125874125874,0.6003114421885603,0.2,0.3333333333333333,0.0909090909090909,0.5,0.0,0.0,1.0,0.0,0.5829633342890645,0.1881900038121919
CC[C@@H](N=[N+]=[N-])C=1C=CC=CC1F,0.0,0.0,0.0,0.2,0.3076923076923077,0.0,0.0,0.7508766087484566,0.2445693722308339,0.1992627041974976,0.333333333333333,0.524475524475525,0.6455347272010985,0.2,0.3333333333333333,0.0,0.5,0.1,0.0,1.0,0.0,0.3697697133469566,0.5611616078707107
C[C@@H](CN)N=[N+]=[N-],0.0909090909090909,0.1428571428571428,0.1176470588235294,0.0,0.3076923076923077,0.0,0.1445154123854485,0.4626045564065892,0.067886754041029,0.0370473703321522,1.0,0.0,0.455044187758396,0.0285714285714285,0.0,0.0909090909090909,0.0,0.1,0.0,1.0,0.0,0.5018609394178815,0.4013058263990136
ClC=1C=CC(N=[N+]=[N-])=NC1,0.0909090909090909,0.0,0.0588235294117647,0.2,0.0769230769230769,0.0,0.0715912246598167,0.6617171736958601,0.1556603972816238,0.1487187587828254,0.0,0.6818181818181819,0.5528144841457476,0.1142857142857142,0.3333333333333333,0.0909090909090909,0.5,0.0,0.0,1.0,0.0,0.8395070833816538,0.0
CC(C)CSCCCN=[N+]=[N-],0.0909090909090909,0.0,0.0588235294117647,0.0,0.6153846153846154,0.0,0.0,0.7008168622304054,0.2632803821607626,0.1871324034735364,1.0,0.0,0.3452249449465059,0.1428571428571428,0.0,0.0909090909090909,0.0,0.0,0.0,1.0,0.0,0.2587052689126348,0.4437876492627032
CCC1=NN=C(CN=[N+]=[N-])O1,0.2727272727272727,0.0,0.1764705882352941,0.2,0.3076923076923077,0.0,0.2161621771730075,0.5408039334756797,0.1427612044315105,0.1458159386366381,0.6,0.5165289256198352,0.6139429602062836,0.1428571428571428,0.3333333333333333,0.2727272727272727,0.4166666666666666,0.0,0.0,1.0,0.0,0.4813832098464186,0.3757253861788141
[N-]=[N+]=NCC1=CN2C=CC=CC2=N1,0.1818181818181818,0.0,0.1176470588235294,0.4,0.1538461538461538,0.0,0.0960844209941683,0.6095907853239039,0.2400415612500475,0.1869149483954474,0.125,0.7867132867132863,0.6526458011459861,0.2,0.3333333333333333,0.1818181818181818,0.5,0.0,0.0,1.0,0.0,0.5030740325886374,0.2449387564538411
FC=1C=C(C#N)C=CC1CN=[N+]=[N-],0.0909090909090909,0.0,0.0588235294117647,0.2,0.1538461538461538,0.0,0.1321299638989169,0.6451526964289206,0.2056014766070139,0.1930180508229436,0.125,0.524475524475525,0.6472882013643226,0.2,0.3333333333333333,0.0909090909090909,0.5,0.0,0.0,1.0,0.0,0.5867387915351998,0.2804015946429526
COC=1C=CC=C(N=[N+]=[N-])C1,0.0909090909090909,0.0,0.0588235294117647,0.2,0.2307692307692307,0.0,0.0512635379061371,0.6578189582557927,0.1873128371043972,0.1376264983372886,0.142857142857143,0.6198347107438011,0.5855402201860649,0.1428571428571428,0.3333333333333333,0.0909090909090909,0.5,0.0,0.0,1.0,0.0,0.5506171702592337,0.2294350988931436
[N-]=[N+]=NC(CC1CCCCC1)C=2N=CC=CN2,0.1818181818181818,0.0,0.1176470588235294,0.4,0.3076923076923077,0.0,0.1431824493196334,0.7715724108209752,0.3842303777258732,0.3061541838562158,0.666666666666667,0.9358288770053478,0.7971930819565729,0.3142857142857143,0.6666666666666666,0.1818181818181818,0.5,0.1,0.666666666666667,1.0,0.0,0.2118281175515919,0.590587822951532
CC=1C=C(F)C=C(N=[N+]=[N-])C1,0.0,0.0,0.0,0.2,0.1538461538461538,0.0,0.0,0.7008090266214806,0.1716259994340236,0.1417109611719592,0.142857142857143,0.6198347107438011,0.5227670801450133,0.1428571428571428,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0.0,0.5707038158807187,0.2391028801082494
COC=1C=CC=CC1[C@@H](O)CN=[N+]=[N-],0.1818181818181818,0.1428571428571428,0.1764705882352941,0.2,0.4615384615384615,0.0,0.1636212163287975,0.5992379870320665,0.2731959503123429,0.2279995979132509,0.333333333333333,0.4870129870129875,0.8022879785251171,0.2285714285714285,0.3333333333333333,0.1818181818181818,0.5,0.1,0.0,1.0,0.0,0.3742710698548603,0.2898779399312
C[C@H](N=[N+]=[N-])C=1C=CC(Cl)=CC1,0.0,0.0,0.0,0.2,0.2307692307692307,0.0,0.0,0.7630413916041443,0.2482439949484496,0.2042436563635348,0.25,0.5681818181818182,0.628390781081754,0.1714285714285714,0.3333333333333333,0.0,0.5,0.1,0.0,1.0,0.0,0.4958127424592886,0.5516676431980554
[N-]=[N+]=NCC1CCCCNC1,0.0909090909090909,0.1428571428571428,0.1176470588235294,0.2,0.1538461538461538,0.0,0.0668147736739794,0.5647123352073492,0.207786821197927,0.1480151069735376,1.0,0.7231404958677683,0.597788607397117,0.1428571428571428,0.3333333333333333,0.0909090909090909,0.5833333333333333,0.1,1.0,1.0,0.0,0.3532383027067352,0.4359236588411503
FC1(F)CC(CN=[N+]=[N-])C1,0.0,0.0,0.0,0.2,0.1538461538461538,0.0,0.0,0.6289251503457456,0.1018588522506007,0.1334722857605896,1.0,0.4545454545454546,0.4997775113583378,0.1142857142857142,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.4781926843947992,0.3994332006235702
FC(F)C1=CC(CN=[N+]=[N-])=NO1,0.1818181818181818,0.0,0.1176470588235294,0.2,0.2307692307692307,0.0,0.1445709525131908,0.6368097318262839,0.1240417470930355,0.1888248604492286,0.4,0.4734848484848489,0.6795517429971076,0.1714285714285714,0.3333333333333333,0.1818181818181818,0.4166666666666666,0.0,0.0,1.0,0.0,0.5936299932879168,0.3999141015610389
[N-]=[N+]=NCC=1C=CC=NN1,0.1818181818181818,0.0,0.1176470588235294,0.2,0.1538461538461538,0.0,0.1431824493196334,0.5255832631393362,0.1288736647814866,0.1088588326765228,0.2,0.6818181818181819,0.5509913835123732,0.1142857142857142,0.3333333333333333,0.1818181818181818,0.5,0.0,0.0,1.0,0.0,0.6373468444697823,0.4077947258464727
[N-]=[N+]=NCCCC=1C=CC=CC1,0.0,0.0,0.0,0.2,0.3076923076923077,0.0,0.0,0.6864679033869412,0.24624195912299,0.1623568848124033,0.333333333333333,0.5681818181818182,0.3905697305939542,0.1714285714285714,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0.0,0.3548590853016329,0.3614279812245646
FC(F)(CN=[N+]=[N-])C=1C=CC(Cl)=CC1,0.0,0.0,0.0,0.2,0.2307692307692307,0.0,0.0,0.7660581010401764,0.2511667983054498,0.2780552951337235,0.25,0.4870129870129875,0.7289686469057706,0.2285714285714285,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0.0,0.5095716080976176,0.3452334565834419
N[C@H]1CCCC[C@H]1N=[N+]=[N-],0.0909090909090909,0.1428571428571428,0.1176470588235294,0.2,0.1538461538461538,0.0,0.1445154123854485,0.5529785108425233,0.1668481451602684,0.1192392354607684,1.0,0.6818181818181819,0.5192937782886198,0.1142857142857142,0.3333333333333333,0.0909090909090909,0.5,0.2,1.0,1.0,0.0,0.3789159905125656,0.4631698726302794
CC(C)(C)C=1OC=NC1CN=[N+]=[N-],0.1818181818181818,0.0,0.1176470588235294,0.2,0.1538461538461538,0.0,0.1445709525131908,0.6720601774765415,0.2401344827440561,0.2013408362173476,0.625,0.4370629370629376,0.6743380600081708,0.2,0.3333333333333333,0.1818181818181818,0.4166666666666666,0.0,0.0,1.0,0.0,0.3542519401236141,0.5100953093005757
C[C@H]1C[C@H](N=[N+]=[N-])C=2C=CSC2S1(=O)=O,0.2727272727272727,0.0,0.1764705882352941,0.4,0.1538461538461538,0.0,0.1896139961121911,0.660600599424082,0.3196904869508655,0.3307922544962927,0.5,0.8333333333333329,0.7546194017561416,0.2571428571428571,0.3333333333333333,0.2727272727272727,0.5,0.2,0.428571428571429,1.0,0.0,0.3969843061435547,0.5228126309141404
OC1(CN=[N+]=[N-])CCC1,0.0909090909090909,0.1428571428571428,0.1176470588235294,0.2,0.2307692307692307,0.0,0.1123576784226603,0.5182177907500631,0.1114027344261464,0.0924820035408247,1.0,0.5050505050505045,0.5267796772465618,0.0857142857142856,0.3333333333333333,0.0909090909090909,0.3333333333333333,0.0,1.0,1.0,0.0,0.4449069169742572,0.4630467602883658
CC1CCCCC1(C)N=[N+]=[N-],0.0,0.0,0.0,0.2,0.2307692307692307,0.0,0.0,0.7193774608709271,0.2158904202163381,0.1459882615287086,1.0,0.6198347107438011,0.4715661618085741,0.1428571428571428,0.3333333333333333,0.0,0.5,0.2,1.0,1.0,0.0,0.3203297776944971,0.5449856954949925
CN(C)C1CCN(CCN=[N+]=[N-])C1,0.1818181818181818,0.0,0.1176470588235294,0.2,0.4615384615384615,0.0,0.0359900027770063,0.4908813101138117,0.2780802419337808,0.2075936954439049,1.0,0.4370629370629376,0.6044791123933078,0.2,0.3333333333333333,0.1818181818181818,0.4166666666666666,0.1,1.0,1.0,0.0,0.2556756355911063,0.438799950376488
[N-]=[N+]=NC1CCC=2C=CC=NC12,0.0909090909090909,0.0,0.0588235294117647,0.4,0.0769230769230769,0.0,0.0715912246598167,0.6325687084957583,0.2096562327092106,0.1602479808475408,0.375,0.8522727272727273,0.5640764787767778,0.1714285714285714,0.3333333333333333,0.0909090909090909,0.5,0.1,0.375,1.0,0.0,0.4742081909180702,0.3407564231958331
CC(N=[N+]=[N-])C=1C=CC=CC1F,0.0,0.0,0.0,0.2,0.2307692307692307,0.0,0.0,0.7126682207291026,0.2055676869728288,0.1704868326847284,0.25,0.5681818181818182,0.5974519344952594,0.1714285714285714,0.3333333333333333,0.0,0.5,0.1,0.0,1.0,0.0,0.4556688066066388,0.3921808601047353
[N-]=[N+]=NCC1=CC(=NO1)C2CC2,0.1818181818181818,0.0,0.1176470588235294,0.4,0.2307692307692307,0.0,0.1445709525131908,0.6309134361104031,0.1833256602705704,0.1684292152948868,0.571428571428571,0.757575757575758,0.6548023530285008,0.1714285714285714,0.6666666666666666,0.1818181818181818,0.4166666666666666,0.0,0.5,1.0,0.0,0.4179458182345383,0.4481046123344177
CC(F)(F)C1=NC=C(CN=[N+]=[N-])S1,0.1818181818181818,0.0,0.1176470588235294,0.2,0.3076923076923077,0.0,0.0715912246598167,0.699749260514407,0.2103911572527337,0.2505636394594795,0.5,0.4370629370629376,0.7360338610763129,0.2,0.3333333333333333,0.1818181818181818,0.4166666666666666,0.0,0.0,1.0,0.0,0.4854785413155953,0.3253594219261521
[N-]=[N+]=NC=1C=CC=C2NN=CC12,0.0909090909090909,0.1428571428571428,0.1176470588235294,0.4,0.0769230769230769,0.0,0.1592890863648986,0.6448608199964734,0.2134972693751874,0.1581390768826782,0.0,0.8522727272727273,0.6465723655373583,0.1714285714285714,0.3333333333333333,0.1818181818181818,0.5,0.0,0.0,1.0,0.0,0.6273467345769161,0.1840033991441592
"FC(F)(F)[C@@H]1C[C@H]1CN=[N+]=[N-] |&1:4,6,r|",0.0,0.0,0.0,0.2,0.1538461538461538,0.0,0.0,0.6439205469255023,0.1016983514882221,0.1703781051456839,1.0,0.3099173553719011,0.5384729931623673,0.1428571428571428,0.3333333333333333,0.0,0.25,0.2,1.0,1.0,0.0,0.5032523982255441,0.468774224418202
[N-]=[N+]=NCC=1N=COC1C2CCC2,0.1818181818181818,0.0,0.1176470588235294,0.4,0.2307692307692307,0.0,0.1445709525131908,0.669121824129757,0.2223273455285754,0.197205086807656,0.625,0.7867132867132863,0.6907669126576175,0.2,0.6666666666666666,0.1818181818181818,0.4166666666666666,0.0,0.571428571428571,1.0,0.0,0.3536388653553732,0.4463647582438539
[N-]=[N+]=NCC(=O)NC=1C=CC=CC1,0.0909090909090909,0.1428571428571428,0.1176470588235294,0.2,0.2307692307692307,0.3333333333333333,0.1616217717300749,0.5891006679856602,0.2488496741412153,0.1930693373979645,0.125,0.524475524475525,0.7417499367971652,0.2,0.3333333333333333,0.1818181818181818,0.5,0.0,0.0,1.0,0.0,0.4904259351314421,0.2810592129837392
NC=1C=C(N=[N+]=[N-])C=CN1,0.1818181818181818,0.1428571428571428,0.1764705882352941,0.2,0.1538461538461538,0.0,0.2161066370452652,0.5567983701933431,0.1506122259343889,0.1088588326765228,0.0,0.6818181818181819,0.5803763257704144,0.1142857142857142,0.3333333333333333,0.1818181818181818,0.5,0.0,0.0,1.0,0.0,0.6490536270210465,0.217565882259209
[N-]=[N+]=NC=1C=CC=CC1,0.0,0.0,0.0,0.2,0.0769230769230769,0.0,0.0,0.6569766302963812,0.1319654163094116,0.0760292702740956,0.0,0.757575757575758,0.4582702931439589,0.0857142857142856,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0.0,0.669874343384576,0.211344156912368
ClC1=CC=C(CN=[N+]=[N-])S1,0.0909090909090909,0.0,0.0588235294117647,0.2,0.1538461538461538,0.0,0.0,0.714117808380183,0.1905144049434235,0.1878360552828241,0.2,0.5681818181818182,0.6167771198044711,0.1142857142857142,0.3333333333333333,0.0909090909090909,0.4166666666666666,0.0,0.0,1.0,0.0,0.7490058451947856,0.3816989892964989
CN(C)C=1C=CC=C(OCCCN=[N+]=[N-])C1,0.1818181818181818,0.0,0.1176470588235294,0.2,0.6153846153846154,0.0,0.0692585392946403,0.6768986659875799,0.3823972900713384,0.2835327013459637,0.454545454545455,0.4261363636363636,0.4835277218421513,0.2857142857142857,0.3333333333333333,0.1818181818181818,0.5,0.0,0.0,1.0,0.0,0.2548073792855025,0.316150021480929
