Smiles,MTB Standardized Residuals
O=C(OC)C1=CC=CC(CN=[N+]=[N-])=C1,0.7253713314317127
O=C([C@H](N=[N+]=[N-])CO)OCC1=CC=CC=C1,-1.069825386393193
CC1=CC=C(CN=[N+]=[N-])S1,0.815928396313005
O[C@H]1[C@H]([C@@H](C[C@@H]1CO)N=[N+]=[N-])O,0.5036334560481315
BrC1=CN=C(CN=[N+]=[N-])C=C1,-0.7744012326837849
ClC1=NC=CN=C1CN=[N+]=[N-],-1.08317410777744
CN1CCN(CC(C=C2)=CC=C2N=[N+]=[N-])CC1,-0.7231501664888683
CC(N=[N+]=[N-])C1=CC(OCCO2)=C2C=C1,-0.7269421492767694
CC(N=[N+]=[N-])C1=NC2=C(N1)C=CC=C2,0.3746381987459245
[N-]=[N+]=NCC1=CNC=N1,-0.5284431655024546
CC1=CC(CN=[N+]=[N-])=NO1,-0.2274692386860316
CC1=NN(CCN=[N+]=[N-])C(C)=C1,-1.59781832209744
OC(CN=[N+]=[N-])C1=CC=CO1,-0.902559222173261
[N-]=[N+]=NCC1=CSC=N1,-0.9493345149576563
CS(C1=CC=CC=C1CN=[N+]=[N-])(=O)=O,-1.8348781401429
N#CC1=C(F)C=C(CN=[N+]=[N-])C=C1,-1.173901475680464
CC(C)(N=[N+]=[N-])C1=CC(F)=CC(F)=C1,0.8488468144960273
[N-]=[N+]=NCC1=CSC=C1,0.8127169246736873
ClC1=CC=C(C2(CC2)CN=[N+]=[N-])C=C1,0.8079924928887537
FC1=CC(NC=C2CCN=[N+]=[N-])=C2C=C1,-1.937482833593009
O[C@H]1[C@@H](CCC1)N=[N+]=[N-],0.1474628580969436
[N-]=[N+]=N[C@H](C1)[C@@H]1C2=CC=CC=C2,0.6334991962757061
CC1=NN(C)C(CN=[N+]=[N-])=C1,-0.9568364999484692
COC1=CC=CC(OCCCN=[N+]=[N-])=C1,-1.992391230277793
CCN1C=C(CN=[N+]=[N-])C=N1,-1.237952618696906
BrC1=CN=CC(CN=[N+]=[N-])=C1,-1.587795778060287
OC1=CC=CC(CCN=[N+]=[N-])=C1,-2.697876260994188
FC1=C(F)C(F)=CC(CN=[N+]=[N-])=C1,-0.04672496433116045
ClC1=CC=C(C(C)(C)CN=[N+]=[N-])C=C1,0.6429955966964581
[N-]=[N+]=NCC1=NC=CS1,-0.7424049621783638
CC(N=[N+]=[N-])C1=CC=CS1,0.1102803666452806
NC([C@H](CC1=CN=CN1)N=[N+]=[N-])=O,0.02617600726051739
[N-]=[N+]=NCC1=CN=CS1,0.8909452423617268
CCOC(C1=CC=NC(CN=[N+]=[N-])=C1)=O,0.4501144148262428
FC1=CC=CC(C(C)N=[N+]=[N-])=C1,0.547447242987842
FC1=C(CN=[N+]=[N-])C(F)=CC=C1,0.7392792030215557
OC(CN=[N+]=[N-])COC1=CC=C(OC)C=C1,-2.211526100666807
CC1=C(C)C=C(CCN=[N+]=[N-])C=C1,0.3541990573566516
FC1=CC=C(F)C=C1CN=[N+]=[N-],0.5160406253727304
CC1=C(CN=[N+]=[N-])C=CC=C1C,0.8976169850753803
CC1=CC=CC(CCN=[N+]=[N-])=C1,0.7106803886368295
CC1=C(C)C=CC(CN=[N+]=[N-])=C1,0.6147131214915831
CC(C1=NC(CCN=[N+]=[N-])=NO1)C,-0.8069608819200379
OC1=CC=CC=C1CCN=[N+]=[N-],-2.670578563123226
ClC1=CC(CCN=[N+]=[N-])=CC(Cl)=C1,0.8048073223943777
FC1=CC(F)=C(Cl)C=C1CN=[N+]=[N-],0.6384933493347901
CC(N=[N+]=[N-])C1=NC=CC=C1,-0.2418285758012321
[N-]=[N+]=NCCN1C=CN=C1,-0.905342132088297
COC1=C(OC)C=C(CN=[N+]=[N-])C=C1OC,-2.598173696183815
[N-]=[N+]=NCC1=CNN=C1,-1.296373237901636
OC(C[C@H](N=[N+]=[N-])CC1=CC=CC=C1)=O,0.230685999702927
OC1=CC(N=[N+]=[N-])=CC(C(O)=O)=C1,-0.3681520020089786
OCC[C@@H](N=[N+]=[N-])C1=CC=CC=C1,-1.288255678111611
OC1=C(OC)C=CC(CCN=[N+]=[N-])=C1,-2.882113460776371
COC1=CC(CN=[N+]=[N-])=CC(OC)=C1,-1.114198050942841
CC(C)(COCC1)C1N=[N+]=[N-],0.9154373454732864
NC(C1=CC(OC)=CC=C1N=[N+]=[N-])=O,0.001416009823592096
OCC(N=[N+]=[N-])C1=CC=CC=C1C,-0.665468850280146
O[C@H]1CC2=C(C=CC=C2)[C@@H]1N=[N+]=[N-],-1.607663060092029
[N-]=[N+]=NCCC1=CSC=C1,0.836738681749127
[N-]=[N+]=NCC1=CC=C([N+]([O-])=O)C=C1,-0.6173226542442902
ClC1=CC(F)=CC=C1CN=[N+]=[N-],0.8524269435581554
CS(C1=CC=C(CN=[N+]=[N-])C=C1)(=O)=O,-2.164062436394736
ClC1=C(CN=[N+]=[N-])C(Cl)=CC=C1,0.6691516842266042
COC1=C(O)C=CC(CCN=[N+]=[N-])=C1,-2.794881958815048
FC1=CC=C(CN=[N+]=[N-])C(C(F)(F)F)=C1,1.335570501199078
[N-]=[N+]=NCC1=CC([N+]([O-])=O)=CC=C1,-1.240808110665689
FC(F)(F)C1=CC=C(CN=[N+]=[N-])C=C1,0.9316306916078604
CC1=CC=C(C(C)N=[N+]=[N-])C=C1,0.8870507557260802
CC(N=[N+]=[N-])C1=CC=C(F)C=C1,0.7158425867478019
O=C(NCCN=[N+]=[N-])OCC1=CC=CC=C1,-2.291291560599793
OC[C@@H](N=[N+]=[N-])CC1=CC=CC=C1,-1.514678524558206
N#CC1=CC=C(CN=[N+]=[N-])C=C1,-1.37105548169578
COC1=CC=CC=C1CN=[N+]=[N-],0.3482813967997851
COC(C1=CC(CN=[N+]=[N-])=NC=C1)=O,-1.588203474921293
[N-]=[N+]=NCCC1=CC=C([N+]([O-])=O)C=C1,-1.781052514295145
[N-]=[N+]=NC1(CC1)C2=CC=CC=C2,1.161315650392083
O=C(OC)C[C@H](N=[N+]=[N-])C1=CC=CC=C1,0.7472079135717765
O=C1NCCCCC1N=[N+]=[N-],0.7933439250382205
[N-]=[N+]=NCC1=NC2=CC=CC=C2C=C1,-0.8019147468760897
BrC1=CC=CC(CN=[N+]=[N-])=C1,1.032271291624927
O[C@H](CN=[N+]=[N-])C1=CC=CC=C1,-1.657857961902167
CCCOC1=CC=CC(CN=[N+]=[N-])=C1,0.9900771763945126
