,Smiles,MTB Standardized Residuals,Scaffold
18,BrC1=CC=C(N=[N+]=[N-])C=C1,1.076965840382631,c1ccccc1
19,OCC([C@@](C1)(O)C[C@H](O[C@H]2C[C@@H]([C@@H]([C@@H](O2)C)O)N=[N+]=[N-])C(C1=C3O)=C(O)C4=C3C(C5=CC=CC(OC)=C5C4=O)=O)=O,0.1258015947176954,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1
20,FC1=CC=C(N=[N+]=[N-])C=C1,1.273156755193249,c1ccccc1
21,FC1=CC=CC(N=[N+]=[N-])=C1,1.122383084660224,c1ccccc1
22,IC1=CC=C(N=[N+]=[N-])C=C1,1.175541421439108,c1ccccc1
23,CSC1=CC=C(N=[N+]=[N-])C=C1,1.313961377960962,c1ccccc1
24,COC1=CC=C(CN=[N+]=[N-])C=C1,0.8946502480995262,c1ccccc1
25,C[C@@]1(C[C@](C2)(N=[N+]=[N-])C3)C[C@H]2C[C@@]3(C)C1,1.300296984134472,C1C2CC3CC1CC(C2)C3
26,COC1=CC=C(N=[N+]=[N-])C=C1,1.403730204998625,c1ccccc1
27,[N-]=[N+]=NC1=CC=C(C2=CC=CC=C2)C=C1,1.248347561510834,c1ccc(-c2ccccc2)cc1
28,OC1=CC=C(C[C@H](N=[N+]=[N-])C(OCC)=O)C=C1,-0.4845402244321741,c1ccccc1
29,CC(C)(N=[N+]=[N-])C1=CC=CC=C1,1.19766990360935,c1ccccc1
30,[O-]S(C1=CC=CC2=C(NCCN=[N+]=[N-])C=CC=C21)(=O)=O,-1.923188997657322,c1ccc2ccccc2c1
31,OC1=CC(C)=C(N=[N+]=[N-])C=C1,-1.226237190459306,c1ccccc1
32,O[C@H]1[C@H](C[C@H](O[C@@H](C[C@@](C(C)=O)(O)C2)C(C2=C3O)=C(O)C4=C3C(C5=CC=CC(OC)=C5C4=O)=O)O[C@H]1C)N=[N+]=[N-],-0.0652788278612011,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1
33,FC1=C(C[C@@H](N=[N+]=[N-])CC(N2CC3=NN=C(C(F)(F)F)N3CC2)=O)C=C(F)C(F)=C1,-1.581854602011008,O=C(CCCc1ccccc1)N1CCn2cnnc2C1
34,OC(C1=C(C=CC(C)=C1)N=[N+]=[N-])=O,1.005646912654881,c1ccccc1
35,ClC1=C(C2C(C(OCC)=O)=C(COCCN=[N+]=[N-])NC(C)=C2C(OC)=O)C=CC=C1,0.8001588998582655,C1=CC(c2ccccc2)C=CN1
36,O=C(N1C)C=C(N2C[C@H](N=[N+]=[N-])CCC2)N(CC3=CC=CC=C3C#N)C1=O,-1.122447621281626,O=c1cc(N2CCCCC2)n(Cc2ccccc2)c(=O)[nH]1
37,CC(NC1=CC=C(N=[N+]=[N-])C=C1)=O,-0.4519470029960361,c1ccccc1
38,ClC1=CC=C(N=[N+]=[N-])C=C1,1.306658660108034,c1ccccc1
39,[N-]=[N+]=NC1CN(C(C2=CC=CC=C2)C3=CC=CC=C3)C1,-1.479461436512903,c1ccc(C(c2ccccc2)N2CCC2)cc1
40,CN(C(N=C(N1C[C@H](N=[N+]=[N-])CCC1)N2CC#CC)=C2C3=O)C(N3CC4=NC5=CC=CC=C5C(C)=N4)=O,-1.105531785689971,O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1
41,OC[C@@H](O1)[C@H](C[C@@H]1N(C2=O)C=C(C(N2)=O)C)N=[N+]=[N-],0.235846599436163,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1
42,[N-]=[N+]=NCC1=CC=CC=C1,1.070878427351406,c1ccccc1
43,O=C(CN=[N+]=[N-])OCC1=CC=CC=C1,0.7877171714176615,c1ccccc1
44,C[C@H](N=[N+]=[N-])C1=CC=CC=C1,1.172419658752554,c1ccccc1
45,O=C([C@H](CO)N=[N+]=[N-])OCC1=CC=CC=C1,1.206177838323782,c1ccccc1
46,O=C(OCC1=CC=CC=C1)C[C@H](N=[N+]=[N-])C(OCC2=CC=CC=C2)=O,1.017033030933133,O=C(CCC(=O)OCc1ccccc1)OCc1ccccc1
47,ClC1=CC=C(CC(N=[N+]=[N-])C(OC)=O)C=C1,0.8083580101251034,c1ccccc1
48,[N-]=[N+]=NC1=CC=C(OCC2=CC=CC=C2)C=C1,-0.3894556497058633,c1ccc(COc2ccccc2)cc1
49,ClC1=NC=C(CN=[N+]=[N-])S1,-0.0695349606951914,c1cscn1
50,[N-]=[N+]=NCC1=NC2=CC=CC=C2N1,-1.655502247750971,c1ccc2[nH]cnc2c1
51,BrC1=C(N=[N+]=[N-])NN=C1,-1.146792227057042,c1cn[nH]c1
52,CS(C1=CC=CC(N=[N+]=[N-])=C1)(=O)=O,0.3523132180657205,c1ccccc1
53,CN(C)CC1=CC=CC(N=[N+]=[N-])=C1,0.8383548959407532,c1ccccc1
54,O=C(OC(C)(C)C)N1N=CC2=CC(N=[N+]=[N-])=CC=C21,-1.044764792898681,c1ccc2[nH]ncc2c1
55,CC1=C2C(OCC[C@H]2N=[N+]=[N-])=CC=C1,0.9160403211707449,c1ccc2c(c1)CCCO2
